pubblicata_da;anno_rif;cup;cup_master;ambito_soggettivo;denominazione_stazione_appaltante;codice_fiscale;codice_natura_opera;natura_opera;tipologia_opera_incompiuta;codice_tipologia_cup;tipologia_cup;localizz_cod_istat;localizz_cod_nuts;ambito_oggettivo;titolo;descrizione;dimensione_unita_misura;dimensione_valore;settore;codice_sotto_settore;sottosettore;codice_categoria;categoria;cpv;progetto_cumulativo;importo_complessivo_intervento_aggiornato_ultimo_qe;importo_lavori_aggiornato_ultimo_qe_approvato;importo_complessivo_lavori_aggiornato_ultimo_sal;oneri_necesari_per_ultimazione_lavori;importo_oneri;perc_avanzamento;sponsorizzato;finanziamento_di_prog;costo_prog;finanziamento_assegnato;copertura_finanziaria_statale;copertura_finanziaria_regionale;copertura_finanziaria_provinciale;copertura_finanziaria_comunale;altra_copertura_finanziaria_pubblica;copertura_finanziaria_privata;comunitaria;mancanza_fondi;cause_tecniche;soprav_nuove_norme_tec_disp_legge;fallim_liq_coatta_e_conc_prev;mancato_interesse_al_compl;opera_fruibile_dalla_collettivita;possibile_uso_ridim;destinazione_uso_alternativa;sentito_demanio;destinazione_uso_opera;opera_inserita_in_infrastruttura_rete;incomp_costituisce_discont_rete;anno_decisione_attuazione;data_assegnazione_cup;data_chiusura_cup;strutture_coinvolte;struttura_unica;tipo_indirizzo;indirizzo;strumento_programmazione;descrizionestrumento_programmazione;altre_informazioni;livello_sviluppo;utilita_per_collettivita;id_trasm_elenco;lat;lon
Regione Lombardia;2016;B59D10000200004;null;null;COMUNE DI CURA CARPIGNANO;489010181;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;1;NUOVA REALIZZAZIONE;3018060;null;Regionale;SALA POLIFUNZIONALE*VIA POMA*NUOVA COSTRUZIONE;SALA POLIFUNZIONALE*VIA POMA*NUOVA COSTRUZIONE;Mq;757,15;5;99;ALTRE OPERE ED INFRASTRUTTURE SOCIALI;998;ALTRE INFRASTRUTTURE;null;No;1.497.725,75;1.158.505,23;0,10;No;null;0;N;N;1.497.793,00;1.497.793,00;null;null;null;Si;null;null;null;null;Si;null;null;null;Si;No;null;null;In progetto per l'opera;No;No;2010;null;null;SALA POLIFUNZIONALE;No;null;VIA POMA;0;null;null;Art.4 c. 2 Lett. g);1;null;45.2062439705284;9.24864936700828
Regione Basilicata;2016;G44E89000000002;null;null;COMUNE DI CARBONE;82000590768;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;1;NUOVA REALIZZAZIONE;17076019;ITF51;Regionale;RIFUGIO BOSCO VACCARIZZO;COSTRUZIONE RIFUGIO BOSCO VACCARIZZO;Mc;700,00;5;99;ALTRE OPERE ED INFRASTRUTTURE SOCIALI;999;ALTRE OPERE DI EDILIZIA PUBBLICA;45210000-2;No;206.582,00;175.000,00;175.000,00;Si;350.000,00;33,33;N;N;206,58;206,58;No;Si;No;No;No;No;No;Si;No;No;No;No;No;No;null;null;In progetto per l'opera;No;null;1989;07/10/2013;null;null;No;null;null;null;null;null;Art.4 c. 2 Lett. g);null;null;40.1336610462906;16.0730667743357
Regione Basilicata;2016;D31B91000020002;null;null;Comune di Genzano di Lucania;80001970765;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;1;NUOVA REALIZZAZIONE;17076036;ITF5;Regionale;LAVORI DI COMPLETAMENTO E COLLEGAMENTO GENZANO - BANZI II??? LOTTO;Realizzazione di una strada di collegamento Genzano-Banzi mediante la realizzazione di una tangenziale per la deviazione del traffico dal centro cittadino.;Ml;2.500,00;1;1;STRADALI;13;STRADE REGIONALI, PROVINCIALI E COMUNALI;45000000-7;No;2.065.827,00;1.100.243,00;348.492,00;No;null;31,67;N;N;2.065,83;2.065,83;No;Si;No;No;No;No;No;No;Si;No;No;No;No;No;null;null;In progetto per l'opera;No;null;1991;25/03/2014;null;null;No;null;null;null;null;null;Art.4 c. 2 Lett. g);null;null;40.8477219019618;16.1188136704713
Regione Basilicata;2016;D69D11000330002;null;null;comune savoia di lucania;80004110765;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;1;NUOVA REALIZZAZIONE;17076084;ITF5;Regionale;CENTRO POLIFUNZIONALE ED INTEGENERAZIONALE;CENTRO POLIFUNZIONALE ED INTEGENERAZIONALE;Mq;450,00;5;99;ALTRE OPERE ED INFRASTRUTTURE SOCIALI;999;ALTRE OPERE DI EDILIZIA PUBBLICA;45210000-2;No;2.050.000,00;1.125.000,00;344.812,00;No;null;30,65;N;A;2.050,00;470,00;No;Si;No;No;No;Si;No;Si;No;No;No;No;No;No;null;null;In progetto per l'opera;No;null;2011;14/12/2011;null;null;No;null;null;null;null;null;Art.4 c. 2 Lett. g);null;null;40.5886764000283;15.5850294062052
Regione Basilicata;2016;I15E08000000004;null;null;Comune di Lavello;85000470766;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;51;COMPLETAMENTO DI NUOVA REALIZZAZIONE;17076043;ITF51;Regionale;Completamento dell'edificio comunale denominato polifunzionale.;Trattasi di fabbricato polifunzionale;Mq;3.600,00;5;33;DIREZIONALI E AMMINISTRATIVE;3;OPERE E INFRASTRUTTURE PER SEDI DELLA PUBBLICA AMMINISTRAZIONE;45000000-7;No;3.500.000,00;3.500.000,00;1.500.000,00;Si;2.000.000,00;27,27;N;A;3.500,00;1.500,00;No;Si;No;No;No;Si;No;Si;No;No;No;No;No;No;null;null;In progetto per l'opera;Si;Si;2008;23/12/2008;null;null;No;null;null;null;null;null;Art.4 c. 2 Lett. g);null;null;41.0754728022783;15.8393935397172
Regione Basilicata;2016;E83B06000080004;null;null;COMUNE DI BRINDISI MONTAGNA;80004470763;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;4;RISTRUTTURAZIONE;17076014;ITF51;Regionale;SISTEMAZIONE ED ATTREZZAGGIO CENTRO DI INSERIMENTO SOCIALE E LAVORATIVO;RISTRUTTURAZIONE IMMOBILE COMUNALE DA ADIBIRE A CENTRO DI INSERIMENTO SOCIALE E LAVORATIVO;Mc;975,00;5;8;SOCIALI E SCOLASTICHE;81;EDILIZIA SOCIALE, CULTURALE E ASSISTENZIALE;45000000-7;No;250.000,00;177.015,68;76.779,45;Si;120.000,00;25,85;N;N;250,00;250,00;No;Si;No;Si;No;No;No;No;No;No;Si;No;No;No;null;null;In progetto per l'opera;No;null;2006;14/10/2008;null;null;No;null;null;null;null;null;Art.4 c. 2 Lett. g);null;null;40.6018529244722;15.9206339123679
Regione Lombardia;2016;D38D14000010004;null;null;COMUNE DI CURNO;80016350169;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;51;COMPLETAMENTO DI NUOVA REALIZZAZIONE;3016089;null;Regionale;LAVORI DI COMPLETAMENTO NUOVA BIBLIOTECA COMUNALE CON ANNESSO AUDITORIUM;LAVORI DI COMPLETAMENTO NUOVA BIBLIOTECA COMUNALE CON ANNESSO AUDITORIUM;Mq;1.513,55;5;99;ALTRE OPERE ED INFRASTRUTTURE SOCIALI;999;ALTRE OPERE DI EDILIZIA PUBBLICA;null;No;1.980.000,00;1.624.808,36;1.601.232,14;Si;355.191,64;80,87;N;N;1.980.000,00;1.980.000,00;null;null;null;Si;null;null;null;null;Si;null;null;null;Si;Si;null;null;In progetto per l'opera;No;No;2014;null;null;null;Si;null;null;null;null;null;Art.4 c. 2 Lett. b);4;null;45.6865871001999;9.60678966543386
Regione Basilicata;2016;E45I87000000002;null;null;AMM.NE COMUNALE DI FERRANDINA;80000550774;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;3;RECUPERO;17077008;null;Regionale;LlAVORI DI CONSOLIDAMENTO E RESTAURO ANTICA STAZIONE DI POSTA IN LOCALITA BORGO MACCHIA;CONSOLIDAMENTO E RESTAURO ANTICA STAZIONE DI POSTA IN LOCALITA BORGO MACCHIA;Mq;1.500,00;5;99;ALTRE OPERE ED INFRASTRUTTURE SOCIALI;999;ALTRE OPERE DI EDILIZIA PUBBLICA;45450000-6;No;1.002.596,56;830.000,00;491.357,76;Si;1.500.000,00;21,09;N;N;1.002,60;1.002,60;No;Si;No;No;No;No;No;Si;No;No;No;No;No;No;null;null;In progetto per l'opera;No;null;1987;31/03/2014;null;null;No;null;null;null;null;null;Art.4 c. 2 Lett. g);null;null;40.4781320593966;16.4297168187091
Regione Basilicata;2016;H28B80000000004;null;null;COMUNE DI CAMPOMAGGIORE;80004930766;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;51;COMPLETAMENTO DI NUOVA REALIZZAZIONE;17076017;ITF51;Regionale;Costruzione nuova casa Comunale;Costruzione nuova casa Comunale su quattro livelli in c.a.;Mc;2.500,00;5;99;ALTRE OPERE ED INFRASTRUTTURE SOCIALI;998;ALTRE INFRASTRUTTURE;45210000-2;No;500.000,00;100.000,00;100.000,00;Si;400.000,00;20;N;A;500,00;100,00;No;No;No;Si;No;Si;No;Si;Si;Si;No;No;No;No;null;null;In progetto per l'opera;Si;Si;1980;24/03/2014;null;null;No;null;null;null;null;null;Art.4 c. 2 Lett. g);null;null;40.5659773882238;16.0871566184824
Regione Basilicata;2016;B34B82000000001;null;null;comune di craco;81001170778;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;1;NUOVA REALIZZAZIONE;17077007;ITF52;Regionale;realizzazione cimitero localit??? Peschiera;opere infrastrutturali per cimitero;Mq;18.600,00;5;99;ALTRE OPERE ED INFRASTRUTTURE SOCIALI;96;CIMITERI;45000000-7;No;1.000.000,00;750.000,00;141.000,00;Si;819.000,00;8,99;N;N;181,00;181,00;Si;No;No;No;No;No;No;Si;No;No;No;No;No;No;null;null;In progetto per l'opera;No;null;1982;03/10/2013;null;null;No;null;null;null;null;null;Art.4 c. 2 Lett. g);null;null;40.3697325484263;16.4312866691287
