pubblicata_da;cup;ambito_soggettivo;denominazione_stazione_appaltante;codice_fiscale;natura_opera;tipologia_opera_incompiuta;tipologia_cup;ambito_oggettivo;titolo;descrizione;dimensione_unita_misura;dimensione_valore;codice_sotto_settore;sottosettore;codice_categoria;categoria;cpv;progetto_cumulativo;importo_complessivo_intervento_aggiornato_ultimo_qe;importo_lavori_aggiornato_ultimo_qe_approvato;importo_complessivo_lavori_aggiornato_ultimo_sal;oneri_neccessari_per_ultimazione_lavori;importo_oneri;perc_avanzamento;sponsorizzato;finanziamento_di_prog;costo_prog;finanziamento_assegnato;copertura_finanziaria;causa;anno_decisione_attuazione;data_assegnazione_cup;data_chiusura_cup;strutture_coinvolte;indirizzo;lat;lon
Lombardia;B59D10000200004;null;COMUNE DI CURA CARPIGNANO;489010181;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;NUOVA REALIZZAZIONE;Regionale;SALA POLIFUNZIONALE*VIA POMA*NUOVA COSTRUZIONE;SALA POLIFUNZIONALE*VIA POMA*NUOVA COSTRUZIONE;Mq;757.15;99;INFRASTRUTTURE;998;INFRASTRUTTURE;null;No;1497725.75;1158505.23;0.1;No;null;0;N;N;1497793;1497793;Comunale;Cause tecniche;2010;null;null;SALA POLIFUNZIONALE;VIA POMA;45.2062439705284;9.24864936700828
Basilicata;G44E89000000002;null;COMUNE DI CARBONE;82000590768;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;NUOVA REALIZZAZIONE;Regionale;RIFUGIO BOSCO VACCARIZZO;COSTRUZIONE RIFUGIO BOSCO VACCARIZZO;Mc;700;99;OPERE DI EDILIZIA PUBBLICA;999;OPERE DI EDILIZIA PUBBLICA;45210000-2;No;206582;175000;175000;Si;350000;33.33;N;N;206.58;206.58;Regionale;Mancanza fondi;1989;07/10/2013;null;null;null;40.1336610462906;16.0730667743357
Basilicata;D31B91000020002;null;Comune di Genzano di Lucania;80001970765;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;NUOVA REALIZZAZIONE;Regionale;LAVORI DI COMPLETAMENTO E COLLEGAMENTO GENZANO - BANZI II??? LOTTO;Realizzazione di una strada di collegamento Genzano-Banzi mediante la realizzazione di una tangenziale per la deviazione del traffico dal centro cittadino.;Ml;2500;1;STRADE REGIONALI, PROVINCIALI E COMUNALI;13;STRADE REGIONALI, PROVINCIALI E COMUNALI;45000000-7;No;2065827;1100243;348492;No;null;31.67;N;N;2065.83;2065.83;Regionale;Cause tecniche;1991;25/03/2014;null;null;null;40.8477219019618;16.1188136704713
Basilicata;D69D11000330002;null;comune savoia di lucania;80004110765;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;NUOVA REALIZZAZIONE;Regionale;CENTRO POLIFUNZIONALE ED INTEGENERAZIONALE;CENTRO POLIFUNZIONALE ED INTEGENERAZIONALE;Mq;450;99;OPERE DI EDILIZIA PUBBLICA;999;OPERE DI EDILIZIA PUBBLICA;45210000-2;No;2050000;1125000;344812;No;null;30.65;N;A;2050;470;Regionale,Privato;Mancanza fondi;2011;14/12/2011;null;null;null;40.5886764000283;15.5850294062052
Basilicata;I15E08000000004;null;Comune di Lavello;85000470766;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;COMPLETAMENTO DI NUOVA REALIZZAZIONE;Regionale;Completamento dell'edificio comunale denominato polifunzionale.;Trattasi di fabbricato polifunzionale;Mq;3600;33;OPERE E INFRASTRUTTURE PER SEDI DELLA PUBBLICA AMMINISTRAZIONE;3;OPERE E INFRASTRUTTURE PER SEDI DELLA PUBBLICA AMMINISTRAZIONE;45000000-7;No;3500000;3500000;1500000;Si;2000000;27.27;N;A;3500;1500;Regionale,Privato;Mancanza fondi;2008;23/12/2008;null;null;null;41.0754728022783;15.8393935397172
Basilicata;E83B06000080004;null;COMUNE DI BRINDISI MONTAGNA;80004470763;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;RISTRUTTURAZIONE;Regionale;SISTEMAZIONE ED ATTREZZAGGIO CENTRO DI INSERIMENTO SOCIALE E LAVORATIVO;RISTRUTTURAZIONE IMMOBILE COMUNALE DA ADIBIRE A CENTRO DI INSERIMENTO SOCIALE E LAVORATIVO;Mc;975;8;EDILIZIA SOCIALE, CULTURALE E ASSISTENZIALE;81;EDILIZIA SOCIALE, CULTURALE E ASSISTENZIALE;45000000-7;No;250000;177015.68;76779.45;Si;120000;25.85;N;N;250;250;Regionale,Comunale;Fallimento liq. coatta;2006;14/10/2008;null;null;null;40.6018529244722;15.9206339123679
Lombardia;D38D14000010004;null;COMUNE DI CURNO;80016350169;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;COMPLETAMENTO DI NUOVA REALIZZAZIONE;Regionale;LAVORI DI COMPLETAMENTO NUOVA BIBLIOTECA COMUNALE CON ANNESSO AUDITORIUM;LAVORI DI COMPLETAMENTO NUOVA BIBLIOTECA COMUNALE CON ANNESSO AUDITORIUM;Mq;1513.55;99;OPERE DI EDILIZIA PUBBLICA;999;OPERE DI EDILIZIA PUBBLICA;null;No;1980000;1624808.36;1601232.14;Si;355191.64;80.87;N;N;1980000;1980000;Comunale;Cause tecniche;2014;null;null;null;null;45.6865871001999;9.60678966543386
Basilicata;E45I87000000002;null;AMM.NE COMUNALE DI FERRANDINA;80000550774;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;RECUPERO;Regionale;LlAVORI DI CONSOLIDAMENTO E RESTAURO ANTICA STAZIONE DI POSTA IN LOCALITA BORGO MACCHIA;CONSOLIDAMENTO E RESTAURO ANTICA STAZIONE DI POSTA IN LOCALITA BORGO MACCHIA;Mq;1500;99;OPERE DI EDILIZIA PUBBLICA;999;OPERE DI EDILIZIA PUBBLICA;45450000-6;No;1002596.56;830000;491357.76;Si;1500000;21.09;N;N;1002.6;1002.6;Regionale;Mancanza fondi;1987;31/03/2014;null;null;null;40.4781320593966;16.4297168187091
Basilicata;H28B80000000004;null;COMUNE DI CAMPOMAGGIORE;80004930766;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;COMPLETAMENTO DI NUOVA REALIZZAZIONE;Regionale;Costruzione nuova casa Comunale;Costruzione nuova casa Comunale su quattro livelli in c.a.;Mc;2500;99;INFRASTRUTTURE;998;INFRASTRUTTURE;45210000-2;No;500000;100000;100000;Si;400000;20;N;A;500;100;Comunale,Privato;Mancanza fondi,Cause tecniche,Soprav. Nuove norme;1980;24/03/2014;null;null;null;40.5659773882238;16.0871566184824
Basilicata;B34B82000000001;null;comune di craco;81001170778;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;NUOVA REALIZZAZIONE;Regionale;realizzazione cimitero localit� Peschiera;opere infrastrutturali per cimitero;Mq;18600;99;CIMITERI;96;CIMITERI;45000000-7;No;1000000;750000;141000;Si;819000;8.99;N;N;181;181;Statale;Mancanza fondi;1982;03/10/2013;null;null;null;40.3697325484263;16.4312866691287
